Title,Date_of_Release,Genre,Crew_dir,Cast_stars,Plot_summary,Age_of_content,Votes,ImDBRating
3 Idiots,2009,"Comedy, Drama            ",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",12,366038,8.4
Taare Zameen Par,2007,"Drama, Family            ","s:Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",14,179838,8.4
PK,2014,"Comedy, Drama, Musical            ",Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,7,171776,8.1
Radhe,2021,"Action, Crime, Thriller            ",Prabhu Deva,"Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff","After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.",0,171349,1.8
Dangal,2016,"Action, Biography, Drama            ",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,5,170210,8.4
Dil Bechara,2020,"Comedy, Drama, Romance            ",Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",1,123587,8.1
Rang De Basanti,2006,"Comedy, Crime, Drama            ",Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",15,116246,8.1
Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport            ",Ashutosh Gowariker,"Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,20,109082,8.1
My Name Is Khan,2010,Drama            ,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie A. Keane",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,11,102451,8.0
Sadak 2,2020,"Action, Drama            ",Mahesh Bhatt,"Priyanka Bose, Alia Bhatt, Sanjay Dutt, Aditya Roy Kapoor","The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",1,92572,1.1
